,mwra
4593,0.0
46288,1.0
16176,1.0
31806,1.0
5756,0.0
16338,1.0
16399,0.0
38421,0.0
36201,0.0
18903,0.0
35701,0.0
438,1.0
41918,1.0
6740,0.0
31361,0.0
37227,0.0
41086,1.0
31731,1.0
11264,0.0
31257,0.0
44285,0.0
44255,0.0
45417,1.0
15335,0.0
20217,1.0
7981,0.0
9595,1.0
773,0.0
36183,1.0
3394,1.0
21735,0.0
47592,1.0
30983,0.0
35952,0.0
16545,1.0
31271,1.0
5809,0.0
21656,1.0
21268,1.0
44992,1.0
6222,0.0
15269,1.0
30365,1.0
1426,0.0
40146,0.0
2754,1.0
31012,0.0
20737,1.0
16759,0.0
45372,0.0
36399,1.0
26837,0.0
8202,0.0
2277,0.0
44880,1.0
13466,0.0
7747,1.0
4559,1.0
19431,1.0
30325,1.0
896,1.0
41411,1.0
41782,0.0
37273,1.0
6561,0.0
34100,1.0
30459,1.0
38275,0.0
29785,0.0
14921,1.0
6401,0.0
14463,0.0
31407,1.0
42760,0.0
43945,0.0
35911,0.0
33338,0.0
22642,1.0
12088,0.0
4679,1.0
5771,1.0
32790,1.0
32961,0.0
39219,0.0
180,1.0
34506,1.0
12793,0.0
44953,1.0
8090,1.0
10351,1.0
31473,1.0
22526,0.0
24980,0.0
13,0.0
3674,0.0
8721,1.0
15214,0.0
28005,1.0
7671,1.0
35404,1.0
30612,1.0
12909,1.0
20877,1.0
16731,0.0
4496,1.0
45944,1.0
5460,0.0
39330,1.0
27975,0.0
40168,0.0
37120,0.0
25369,1.0
15074,1.0
21597,0.0
15480,1.0
31029,0.0
22510,0.0
16861,0.0
9856,1.0
1213,1.0
17925,1.0
43955,0.0
27823,0.0
30821,0.0
15597,0.0
22566,1.0
15297,1.0
16424,1.0
43520,1.0
30421,1.0
46951,1.0
45016,1.0
13976,0.0
29027,1.0
44063,0.0
46766,1.0
40443,1.0
16463,1.0
21893,1.0
12792,0.0
43458,0.0
42046,0.0
13534,1.0
44635,0.0
33095,0.0
44820,0.0
30475,1.0
7020,1.0
38778,1.0
631,0.0
36707,1.0
600,1.0
46344,0.0
9545,1.0
14190,1.0
19676,1.0
38357,0.0
40808,1.0
41881,1.0
4219,0.0
19850,1.0
9986,1.0
19860,0.0
31768,1.0
27854,1.0
9426,0.0
8943,1.0
31442,1.0
34432,0.0
29955,0.0
18700,1.0
25094,1.0
904,1.0
20627,0.0
13360,1.0
29818,0.0
8957,0.0
47173,1.0
19246,0.0
15464,1.0
157,1.0
4325,1.0
31203,1.0
25243,1.0
30679,0.0
8339,0.0
22382,1.0
5434,1.0
24158,1.0
43216,1.0
10069,0.0
1478,0.0
39751,1.0
30030,1.0
32879,1.0
7707,1.0
25328,1.0
471,0.0
40349,1.0
17172,0.0
41340,0.0
38201,1.0
22522,1.0
9240,0.0
31265,1.0
12140,1.0
37178,0.0
26742,1.0
37370,0.0
25829,0.0
14277,1.0
45120,1.0
47562,1.0
9806,0.0
15073,1.0
1339,1.0
22427,0.0
18121,0.0
18044,1.0
8620,1.0
26879,1.0
46494,1.0
5401,1.0
14552,0.0
44585,1.0
23073,1.0
4913,1.0
23994,0.0
30973,1.0
40424,1.0
33627,1.0
11107,0.0
35218,0.0
40932,1.0
27544,1.0
32898,1.0
18954,1.0
16098,1.0
34443,0.0
12594,1.0
12365,0.0
19006,0.0
20228,1.0
42250,1.0
