ts	imei	mwra	c.android.youtube	c.android.chrome	c.android.gm	c.dogalize	c.katana	c.UCMobile.x86	c.updateassist	c.android.vending	c.UCMobile.intl	c.raider
2018-05-05 10:00:00	8630330696303482162	0.00000	13.42668	15.66393	11.65566	10.64494	10.08955	70.03983	48.23639	64.64275	81.97591	7.36220
2018-05-05 10:01:00	8630330696303481370	0.00000	11.45362	10.75380	9.79337	17.14804	15.31063	55.17141	48.61060	49.60841	38.25160	56.58256
2018-05-05 10:02:00	3590433799317661941	1.00000	16.33410	7.54294	7.33426	12.91862	17.03970	44.36041	57.53637	17.15762	93.66474	47.72499
2018-05-05 10:03:00	3590433799317661370	1.00000	12.27418	12.72129	11.98519	8.49009	12.40497	49.59519	50.91479	86.52847	3.66828	15.77725
2018-05-05 10:04:00	3590433799317661628	0.00000	10.96774	11.00387	12.92665	15.85612	10.30359	20.78323	44.93539	41.46109	45.39833	11.02030
2018-05-05 10:05:00	863033069630348305	0.00000	15.73353	15.94936	15.81677	11.88916	8.53492	43.06495	53.22020	76.21030	65.83274	27.34503
2018-05-05 10:06:00	8630330696303482402	1.00000	8.65466	12.35462	9.43126	17.40621	12.13021	50.72877	66.37678	95.93059	50.56143	16.69949
2018-05-05 10:07:00	3590433799317661362	1.00000	10.80293	13.05001	8.69789	8.87386	12.79395	46.20833	45.97952	87.86717	50.95575	57.33856
2018-05-05 10:08:00	8630330696303481537	0.00000	14.94529	15.10510	13.95128	13.50623	16.62761	59.97817	49.06342	79.13356	44.30865	42.10847
2018-05-05 10:09:00	8630330696303481396	1.00000	10.89741	9.32002	14.20217	13.40155	8.35850	43.85701	36.76415	24.29425	56.51410	63.82266
2018-05-05 10:10:00	863033069630348149	1.00000	14.04981	11.00220	12.84588	12.38687	9.37630	58.94986	57.48139	95.50819	46.63418	8.05524
2018-05-05 10:11:00	863033069630348834	1.00000	15.98714	10.16982	11.66502	11.53494	13.14966	41.95397	65.66299	42.61201	86.86907	10.12146
2018-05-05 10:12:00	863033069630348065	1.00000	11.20582	10.31656	12.07193	12.53489	11.03751	43.97705	54.33880	84.04860	26.10873	42.80923
2018-05-05 10:13:00	8630330696303481495	1.00000	5.48247	5.18689	7.53201	15.98656	11.58677	57.14827	58.47927	95.30371	39.86102	66.81979
2018-05-05 10:14:00	3590433799317661420	1.00000	15.34151	10.42239	11.34046	11.74995	15.57323	55.42094	60.32972	20.17088	28.58362	46.88682
2018-05-05 10:15:00	8630330696303482212	1.00000	11.81711	8.58703	11.26202	10.31228	15.02293	66.27304	45.67764	96.68195	43.21340	85.56914
2018-05-05 10:16:00	359043379931766171	0.00000	14.78907	17.24829	12.62109	10.29696	11.30790	62.03662	65.22798	30.65559	5.63119	95.43137
2018-05-05 10:17:00	8630330696303481180	1.00000	11.52065	9.20627	12.25798	13.25228	10.67151	73.33428	41.01757	41.95676	85.20535	79.63995
2018-05-05 10:18:00	863033069630348792	1.00000	14.53805	12.53605	13.47308	16.83187	12.18109	52.82201	62.25240	60.19281	42.03945	76.09383
2018-05-05 10:19:00	8630330696303482378	1.00000	12.21288	12.79423	12.26331	9.11803	10.67246	51.99403	45.11009	85.20311	54.11932	93.20055
2018-05-05 10:20:00	3590433799317662345	0.00000	13.59545	13.03706	14.06419	12.49493	12.81681	48.38551	49.83073	28.19408	37.43128	97.18020
2018-05-05 10:21:00	3590433799317662402	0.00000	14.73346	12.11676	15.09993	9.91281	13.45334	55.80606	46.40637	50.52123	68.11575	93.25802
2018-05-05 10:22:00	863033069630348123	0.00000	14.96698	16.52533	11.92650	12.10827	13.07806	62.09608	53.13156	98.45126	19.98269	99.73968
2018-05-05 10:23:00	8630330696303482261	1.00000	9.69514	15.15856	10.21569	5.85362	13.46132	61.52928	55.03358	9.05321	76.77486	41.27703
2018-05-05 10:24:00	3590433799317661685	0.00000	12.31886	14.29349	14.77881	8.65248	9.40882	65.44400	65.33130	66.67796	12.90661	57.55372
2018-05-05 10:25:00	8630330696303481735	0.00000	14.45351	11.83421	15.09434	19.99435	13.10288	31.94110	40.44688	55.96484	32.63802	88.44272
2018-05-05 10:26:00	8630330696303481248	1.00000	15.01977	9.94957	10.93323	10.03884	13.30610	24.26719	46.30920	43.53822	34.44246	30.58906
2018-05-05 10:27:00	359043379931766908	1.00000	16.65066	17.42436	13.16848	12.34329	11.00181	45.22426	39.07194	13.28551	16.09877	20.56631
2018-05-05 10:28:00	8630330696303481438	1.00000	12.90602	9.76193	10.03610	9.35882	11.95212	29.91421	39.01195	53.34948	80.12380	0.90110
2018-05-05 10:29:00	863033069630348735	0.00000	14.31758	16.80906	12.41011	10.28257	9.96833	39.44865	45.28259	30.92347	14.80126	20.61937
2018-05-05 10:30:00	8630330696303482014	0.00000	16.08956	18.30236	11.59625	7.75606	6.92586	56.74758	59.99283	19.67982	31.44240	59.92606
2018-05-05 10:31:00	8630330696303481701	1.00000	11.46063	14.35747	13.01625	8.55551	15.71675	50.76293	58.64850	6.05925	70.46934	33.85409
2018-05-05 10:32:00	8630330696303482170	1.00000	14.86821	8.13669	10.69130	9.74971	15.15901	53.91297	73.30212	64.82644	64.10574	95.11304
2018-05-05 10:33:00	8630330696303481388	1.00000	13.92560	15.60208	12.07138	7.16951	15.51292	48.26191	48.97481	15.94304	5.18009	5.92085
2018-05-05 10:34:00	359043379931766007	1.00000	11.32256	10.30577	9.03511	12.10447	10.00546	42.22064	71.02166	29.12482	93.57328	34.58036
2018-05-05 10:35:00	3590433799317661321	1.00000	12.17979	9.94718	12.45971	10.14579	13.74047	63.81398	57.41865	7.90495	66.75484	91.83276
2018-05-05 10:36:00	359043379931766767	1.00000	8.92838	7.47999	11.79709	14.97061	12.39407	24.11767	38.08331	56.73009	82.87903	38.27917
2018-05-05 10:37:00	359043379931766072	0.00000	13.48340	12.86468	12.45353	12.73071	12.15186	39.75144	34.08374	87.65156	31.73912	63.58850
2018-05-05 10:38:00	8630330696303481115	1.00000	14.50398	8.92508	12.93863	10.69686	11.98699	35.59865	70.86738	54.18418	11.25785	63.83572
2018-05-05 10:39:00	8630330696303481610	0.00000	13.99929	14.91276	13.81695	13.57049	11.73529	39.57166	80.37087	88.65336	35.34545	13.21831
2018-05-05 10:40:00	3590433799317662196	1.00000	12.86291	13.39678	11.92267	13.46024	10.40407	40.91812	60.61070	71.29916	71.58241	26.38195
2018-05-05 10:41:00	8630330696303481420	0.00000	15.57374	15.08648	13.00720	8.46307	7.58275	47.16290	42.48471	41.46869	3.72943	98.65423
2018-05-05 10:42:00	8630330696303481198	1.00000	11.45600	10.45883	9.24424	10.53761	14.25752	51.06378	54.41910	57.01782	1.93231	18.81399
2018-05-05 10:43:00	3590433799317661701	0.00000	14.98106	13.44253	12.60890	8.09874	11.15393	72.51380	54.98530	51.74911	38.68537	22.37208
2018-05-05 10:44:00	8630330696303481289	0.00000	12.98512	12.44370	16.00885	11.74484	12.94727	41.68208	41.00641	20.56530	91.01098	59.67798
2018-05-05 10:45:00	359043379931766650	0.00000	14.96432	15.42680	16.70708	11.35530	10.66219	55.11288	44.29077	23.06999	55.60811	51.62350
2018-05-05 10:46:00	8630330696303481842	1.00000	8.22682	8.96371	6.30335	16.92427	14.55467	75.97718	79.15828	23.96271	35.94990	42.98244
2018-05-05 10:47:00	359043379931766320	1.00000	15.80154	10.86346	11.26195	12.95690	14.99985	66.68606	43.45700	51.01269	58.76817	96.70878
2018-05-05 10:48:00	8630330696303481164	0.00000	15.74526	15.49790	14.00161	9.02368	11.29246	61.09160	38.80435	6.17743	51.01935	72.94592
2018-05-05 10:49:00	8630330696303481826	1.00000	13.97083	13.38071	14.23616	12.91186	9.62031	53.08507	59.55396	49.99392	18.28720	0.10607
2018-05-05 10:50:00	863033069630348958	1.00000	15.01963	10.51544	10.78281	9.95048	14.14166	46.40476	57.27444	27.55595	62.45731	70.62563
2018-05-05 10:51:00	863033069630348172	1.00000	11.90165	9.78979	10.86281	13.48214	11.44371	56.33679	24.64681	0.12467	5.92528	82.38659
2018-05-05 10:52:00	863033069630348149	0.00000	9.56779	9.57570	12.70780	16.31205	18.57876	63.49580	53.04094	49.38567	60.28529	17.01552
2018-05-05 10:53:00	359043379931766411	1.00000	10.82905	7.70837	4.72662	10.75727	16.73803	65.84485	55.65244	2.69645	4.48956	37.08239
2018-05-05 10:54:00	8630330696303481131	1.00000	10.65578	11.68506	9.87688	13.95803	9.07667	45.22045	26.32145	45.00833	63.78704	60.22847
2018-05-05 10:55:00	3590433799317662196	0.00000	15.58213	9.55133	11.69226	10.59745	15.93714	26.59720	40.55164	57.03792	95.72747	2.91296
2018-05-05 10:56:00	8630330696303482287	0.00000	16.52783	15.94129	14.01513	14.94980	12.55377	25.50366	40.66094	94.27698	84.86412	48.39232
2018-05-05 10:57:00	8630330696303481305	1.00000	12.15637	15.71895	12.54971	12.01647	14.30759	37.78751	59.48814	4.16840	35.98723	39.18240
2018-05-05 10:58:00	863033069630348479	1.00000	11.39995	9.06607	10.83032	12.33839	12.40522	51.06737	61.28581	90.27215	2.32548	27.54929
2018-05-05 10:59:00	359043379931766619	1.00000	15.44821	13.63243	15.74389	12.81944	12.99328	49.43438	41.17645	11.74643	69.74412	31.34008
2018-05-05 11:00:00	863033069630348172	1.00000	9.29146	14.43165	13.42525	4.41954	13.05672	48.65614	43.98326	1.51240	48.86633	50.54786
2018-05-05 11:01:00	3590433799317662089	0.00000	20.29357	13.93130	15.12778	9.01867	16.22362	63.90865	42.55735	44.26262	21.84204	54.52809
2018-05-05 11:02:00	359043379931766304	1.00000	9.71996	11.20672	11.38275	15.77901	9.45840	68.46339	30.96759	4.43862	68.62710	68.07788
2018-05-05 11:03:00	3590433799317661172	0.00000	13.50453	13.20732	16.04692	13.10691	15.18205	52.48003	67.22134	27.82320	44.03721	82.41943
2018-05-05 11:04:00	3590433799317662402	1.00000	8.39105	12.35513	9.76110	16.52266	7.28314	30.47478	47.71828	22.39893	39.09461	27.70086
2018-05-05 11:05:00	3590433799317661461	1.00000	11.70868	10.97787	9.99897	14.14159	11.06210	73.96353	56.68719	11.06375	95.07590	55.82889
2018-05-05 11:06:00	8630330696303482469	0.00000	14.55545	12.47590	14.54817	9.95657	10.11495	69.97866	55.10874	49.79629	0.46118	60.32844
2018-05-05 11:07:00	359043379931766411	1.00000	13.52313	9.48400	11.81991	8.73522	10.82312	74.84410	68.22289	35.00469	73.52164	5.59395
2018-05-05 11:08:00	3590433799317661925	0.00000	17.56887	17.17095	16.13393	16.08855	13.09322	42.08257	53.26477	1.96210	22.44848	45.50990
2018-05-05 11:09:00	8630330696303481511	1.00000	13.25042	11.90405	8.84228	10.90999	13.96648	36.93798	54.05326	4.92537	69.66440	51.69064
