ts	imei	mwra	p.android.packageinstaller	p.android.documentsui	p.system	p.android.externalstorage	p.android.chrome	p.android.settings	p.android.gm	p.inputmethod.latin	p.android.vending	p.process.gapps	p.notifier	p.katana	p.google	p.android.defcontainer	p.simulator	p.android.gms	p.dogalize	p.gms.persistent	p.browser.provider	p.olauncher
2018-05-05 10:00:00	8630330696303482162	0.00000	15.88869	10.05795	13.35182	11.49810	11.32636	15.26689	13.90930	70.03427	0.00018	46.31685	13.08851	20.09143	82.79608	66.64918	34.95928	83.11314	80.79682	21.05406	57.70783	62.72112
2018-05-05 10:01:00	8630330696303481370	0.00000	8.59717	10.84683	11.02006	10.21514	10.77112	17.05934	14.49830	56.46924	0.00038	55.91411	57.82027	82.73715	2.96508	47.76478	67.03415	75.16736	76.36189	88.33102	61.47245	75.35502
2018-05-05 10:02:00	3590433799317661941	1.00000	11.63475	13.83435	12.42586	15.64822	12.59035	15.08535	13.79256	28.41839	0.00747	49.39918	49.83197	3.40068	74.76720	88.20151	27.44695	50.96700	26.92772	96.30272	50.45846	96.49968
2018-05-05 10:03:00	3590433799317661370	1.00000	9.72483	11.01749	14.47931	16.53736	11.39341	15.09234	17.66187	73.55918	0.00045	64.25781	73.80461	84.15959	11.84456	87.18456	88.42178	47.68328	2.08008	48.94879	25.98894	56.23937
2018-05-05 10:04:00	3590433799317661628	0.00000	11.90430	10.98283	13.36029	15.41702	18.59375	13.91144	13.34290	67.75988	0.00044	49.18515	39.66409	78.46198	75.06329	23.80547	19.83619	46.47065	93.48875	44.13500	60.44037	47.82343
2018-05-05 10:05:00	863033069630348305	0.00000	16.82056	12.16192	15.88805	7.93684	10.11695	16.38597	17.26049	75.67972	0.00141	65.34220	51.52120	2.15508	71.72603	81.08342	28.63016	82.48059	75.65794	30.31082	27.59353	10.71551
2018-05-05 10:06:00	8630330696303482402	1.00000	10.25439	11.77889	14.75017	14.50297	17.86035	13.06857	11.08186	77.64084	0.00096	50.01732	43.84944	39.74113	59.12734	24.47512	61.50326	23.21405	40.09737	47.89124	65.20743	3.16536
2018-05-05 10:07:00	3590433799317661362	1.00000	10.34732	11.15861	14.71805	14.95266	12.49594	15.04991	16.80626	61.46582	0.00053	43.07030	40.98333	82.00145	97.95300	64.87577	70.05612	74.22708	11.44685	54.33071	16.62921	13.48096
2018-05-05 10:08:00	8630330696303481537	0.00000	12.36951	13.35435	9.96491	8.85822	9.88467	13.56387	13.69408	63.01605	0.00463	61.83564	34.52621	57.32043	65.17448	23.63130	23.13563	2.70024	21.62108	20.64112	56.67834	75.95012
2018-05-05 10:09:00	8630330696303481396	1.00000	12.04484	10.52988	14.96284	13.79151	15.58566	13.05380	13.03613	50.22429	0.00028	33.25802	42.97305	23.95394	7.30122	87.86975	5.50605	82.06692	78.47280	20.93816	3.92347	84.17087
2018-05-05 10:10:00	863033069630348149	1.00000	12.49094	9.23381	16.46076	12.52025	13.36717	13.11501	11.05766	34.62562	0.00008	49.58602	50.61682	97.29494	72.56134	41.01564	38.09627	64.90805	13.05427	88.07260	74.95947	57.63072
2018-05-05 10:11:00	863033069630348834	1.00000	10.67675	11.80988	13.83724	16.29483	14.26066	12.15826	18.16217	56.85194	0.00100	54.12948	42.66292	57.31456	26.33991	79.57619	44.67457	10.84097	11.42396	22.63971	29.87705	0.55297
2018-05-05 10:12:00	863033069630348065	1.00000	10.04824	13.45990	15.16156	13.91069	16.78110	14.44575	11.33787	60.38617	0.00514	49.42848	49.15419	19.29918	53.48407	96.18014	6.34877	4.66157	96.66550	76.71942	95.54516	81.13100
2018-05-05 10:13:00	8630330696303481495	1.00000	11.02090	11.86143	13.87469	10.53865	15.55977	10.60486	11.99988	60.30108	0.00104	48.10074	60.77502	11.58411	17.67658	76.10578	8.86326	57.57291	3.92727	79.54030	35.78805	77.99630
2018-05-05 10:14:00	3590433799317661420	1.00000	12.36324	12.54867	14.09960	12.17189	8.41292	13.73480	12.49848	22.91351	0.00207	38.26975	50.32361	9.30835	92.47560	12.32531	5.06779	5.67905	39.53813	66.45236	68.03325	87.77353
2018-05-05 10:15:00	8630330696303482212	1.00000	12.91630	17.29142	16.99874	15.90972	4.64036	16.31719	12.68427	49.70485	0.23658	53.30992	60.48427	67.18338	74.02709	29.70030	15.49727	73.61619	55.08403	41.60280	12.85010	95.68234
2018-05-05 10:16:00	359043379931766171	0.00000	14.85026	11.39495	12.80935	12.62447	8.81205	15.38731	12.69444	36.82913	0.00066	12.84254	33.60068	60.96677	24.26827	65.48845	39.81859	98.83977	10.29642	44.87891	5.23795	73.59871
2018-05-05 10:17:00	8630330696303481180	1.00000	11.01724	12.39628	13.56354	14.28483	14.38752	14.53098	12.22714	36.83150	0.00178	41.61181	47.03578	38.69039	73.51671	46.23248	90.07110	64.07842	58.74443	18.49435	71.45723	50.79708
2018-05-05 10:18:00	863033069630348792	1.00000	9.36098	10.20585	9.25091	12.17051	9.41741	12.62230	14.32865	44.92541	0.00021	36.42843	48.45983	59.72689	26.95887	67.52908	28.04304	28.77607	30.69790	5.11128	59.55851	53.78669
2018-05-05 10:19:00	8630330696303482378	1.00000	8.85258	13.62999	14.06209	13.62567	8.48811	15.72408	12.98127	52.97404	0.00609	38.48904	57.56288	84.02869	85.99254	69.09257	94.56369	49.17396	86.68140	87.58959	6.36583	57.33074
2018-05-05 10:20:00	3590433799317662345	0.00000	14.95593	10.27355	11.12552	10.61963	10.77350	13.25996	12.57932	84.19440	0.00021	29.81992	54.76975	25.05360	79.72073	5.01210	64.64569	28.28536	92.13092	52.35838	22.22084	22.27924
2018-05-05 10:21:00	3590433799317662402	0.00000	10.74532	7.78162	12.49468	14.56193	12.42158	11.16603	11.32858	62.48409	0.00003	60.15051	29.57316	32.53340	64.82156	63.03736	54.18063	38.00328	33.23307	49.07443	5.63531	4.81323
